fecha,ftrt_index_v2,ssn
2020-01-01,1.017551,6.0
2020-01-02,0.888088,12.0
2020-01-03,0.781501,13.0
2020-01-04,-3.539166,12.0
2020-01-05,-3.59631,14.0
2020-01-06,-3.62705,7.0
2020-01-07,-3.630408,4.0
2020-01-08,-3.605543,4.0
2020-01-09,-3.551774,15.0
2020-01-10,-3.468605,4.0
2020-01-11,-3.355754,0.0
2020-01-12,-3.213185,0.0
2020-01-13,1.197078,0.0
2020-01-14,1.398068,0.0
2020-01-15,1.627104,0.0
2020-01-16,1.882897,0.0
2020-01-17,2.163712,0.0
2020-01-18,2.467288,0.0
2020-01-19,2.790747,0.0
2020-01-20,3.130453,0.0
2020-01-21,3.481821,0.0
2020-01-22,3.839017,0.0
2020-01-23,4.19452,0.0
2020-01-24,4.53846,8.0
2020-01-25,4.857677,12.0
2020-01-26,5.134593,19.0
2020-01-27,5.346469,14.0
2020-01-28,5.466651,12.0
2020-01-29,5.469954,12.0
2020-01-30,5.34125,12.0
2020-01-31,5.080534,12.0
2020-02-01,4.699582,6.0
2020-02-02,4.214757,0.0
2020-02-03,3.642304,0.0
2020-02-04,2.997229,0.0
2020-02-05,0.091831,0.0
2020-02-06,-0.65444,0.0
2020-02-07,0.775139,0.0
2020-02-08,-0.004776,0.0
2020-02-09,-0.77049,0.0
2020-02-10,-3.700449,0.0
2020-02-11,-4.365253,0.0
2020-02-12,-4.942239,0.0
2020-02-13,-5.408852,0.0
2020-02-14,-5.747155,0.0
2020-02-15,-3.743805,0.0
2020-02-16,-3.800169,0.0
2020-02-17,-3.719528,0.0
2020-02-18,-3.514799,0.0
2020-02-19,-3.20441,0.0
2020-02-20,-2.809908,0.0
2020-02-21,-2.353664,0.0
2020-02-22,-1.857038,0.0
2020-02-23,-1.339177,0.0
2020-02-24,-3.018571,0.0
2020-02-25,-2.504198,0.0
2020-02-26,-2.008738,0.0
2020-02-27,-1.540194,0.0
2020-02-28,-1.104469,0.0
2020-02-29,-0.705756,0.0
2020-03-01,-0.346896,0.0
2020-03-02,2.172518,0.0
2020-03-03,2.447203,0.0
2020-03-04,2.679103,0.0
2020-03-05,2.868574,0.0
2020-03-06,3.016504,0.0
2020-03-07,3.124269,2.0
2020-03-08,3.193691,16.0
2020-03-09,3.22699,11.0
2020-03-10,3.226711,0.0
2020-03-11,3.195646,0.0
2020-03-12,3.136736,0.0
2020-03-13,3.052989,0.0
2020-03-14,2.947404,0.0
2020-03-15,2.822916,0.0
2020-03-16,2.682357,0.0
2020-03-17,2.528445,0.0
2020-03-18,2.363774,3.0
2020-03-19,2.190829,0.0
2020-03-20,2.011994,0.0
2020-03-21,1.829573,0.0
2020-03-22,-0.556367,0.0
2020-03-23,-0.73928,0.0
2020-03-24,-0.91918,0.0
2020-03-25,-1.093926,0.0
2020-03-26,-1.261395,0.0
2020-03-27,-1.419474,0.0
2020-03-28,-1.566062,0.0
2020-03-29,-1.699075,0.0
2020-03-30,-1.816451,3.0
2020-03-31,-1.91616,11.0
2020-04-01,-4.032252,13.0
2020-04-02,-4.090734,13.0
2020-04-03,-4.125793,13.0
2020-04-04,-4.135677,13.0
2020-04-05,-4.11875,0.0
2020-04-06,-4.07351,0.0
2020-04-07,-3.998615,0.0
2020-04-08,-3.892903,0.0
2020-04-09,-3.755413,0.0
2020-04-10,0.652803,0.0
2020-04-11,0.855812,0.0
2020-04-12,1.092042,0.0
2020-04-13,1.361416,0.0
2020-04-14,1.663535,0.0
2020-04-15,1.99765,0.0
2020-04-16,2.362632,0.0
2020-04-17,2.756936,0.0
2020-04-18,-1.05965,0.0
2020-04-19,-2.815384,0.0
2020-04-20,-2.347189,0.0
2020-04-21,-1.860943,0.0
2020-04-22,-1.36111,0.0
2020-04-23,1.34902,0.0
2020-04-24,1.858019,0.0
2020-04-25,2.357294,6.0
2020-04-26,2.822023,13.0
2020-04-27,3.13231,26.0
2020-04-28,2.938682,15.0
2020-04-29,2.441586,24.0
2020-04-30,1.839351,20.0
2020-05-01,1.165717,4.0
2020-05-02,0.432528,0.0
2020-05-03,-0.350145,0.0
2020-05-04,-1.170208,0.0
2020-05-05,-2.01239,0.0
2020-05-06,-2.857902,0.0
2020-05-07,-3.68462,0.0
2020-05-08,-4.467791,0.0
2020-05-09,-7.383494,0.0
2020-05-10,-8.001808,0.0
2020-05-11,-8.502222,0.0
2020-05-12,-8.867468,0.0
2020-05-13,-9.08794,0.0
2020-05-14,-9.163128,0.0
2020-05-15,-9.101823,0.0
2020-05-16,-8.921036,0.0
2020-05-17,-8.643918,0.0
2020-05-18,-8.297202,0.0
2020-05-19,-7.908714,0.0
2020-05-20,-7.505305,0.0
2020-05-21,-7.111365,0.0
2020-05-22,-6.747883,0.0
2020-05-23,-6.431926,0.0
2020-05-24,-3.974246,0.0
2020-05-25,-3.78796,0.0
2020-05-26,-3.675652,0.0
2020-05-27,-3.638411,0.0
2020-05-28,-5.876358,0.0
2020-05-29,-5.980621,0.0
2020-05-30,-6.147152,0.0
2020-05-31,-6.368763,2.0
2020-06-01,-6.63793,6.0
2020-06-02,-6.947272,0.0
2020-06-03,-3.051649,9.0
2020-06-04,-3.421183,11.0
2020-06-05,-3.812064,13.0
2020-06-06,-4.219392,16.0
2020-06-07,-4.638923,16.0
2020-06-08,-5.067007,16.0
2020-06-09,-5.500513,14.0
2020-06-10,-5.936759,12.0
2020-06-11,-6.373438,11.0
2020-06-12,-6.808556,11.0
2020-06-13,-7.240376,11.0
2020-06-14,-7.667367,11.0
2020-06-15,-10.124189,8.0
2020-06-16,-10.537528,0.0
2020-06-17,-10.942256,0.0
2020-06-18,-13.539453,0.0
2020-06-19,-13.923702,0.0
2020-06-20,-14.296134,0.0
2020-06-21,-14.655704,0.0
2020-06-22,-17.290928,0.0
2020-06-23,-17.621584,0.0
2020-06-24,-17.93614,0.0
2020-06-25,-18.233467,0.0
2020-06-26,-18.512407,6.0
2020-06-27,-18.771782,4.0
2020-06-28,-23.690681,0.0
2020-06-29,-23.907348,0.0
2020-06-30,-24.100875,0.0
2020-07-01,-24.270091,4.0
2020-07-02,-21.935758,2.0
2020-07-03,-22.052982,0.0
2020-07-04,-22.14262,7.0
2020-07-05,-22.203686,5.0
2020-07-06,-20.336107,5.0
2020-07-07,-22.236491,8.0
2020-07-08,-22.206593,0.0
2020-07-09,-22.144853,0.0
2020-07-10,-22.050629,0.0
2020-07-11,-21.923349,0.0
2020-07-12,-21.762512,0.0
2020-07-13,-21.567686,0.0
2020-07-14,-21.338505,0.0
2020-07-15,-21.074662,2.0
2020-07-16,-16.284163,0.0
2020-07-17,-15.950321,0.0
2020-07-18,-15.581276,0.0
2020-07-19,-15.177013,0.0
2020-07-20,-14.737669,0.0
2020-07-21,-14.263615,6.0
2020-07-22,-13.755597,11.0
2020-07-23,-13.214951,11.0
2020-07-24,-8.405704,11.0
2020-07-25,-7.807873,11.0
2020-07-26,-7.188834,11.0
2020-07-27,-6.557011,11.0
2020-07-28,-5.924722,20.0
2020-07-29,-5.309388,21.0
2020-07-30,-4.734648,21.0
2020-07-31,-4.230855,21.0
2020-08-01,-3.834044,26.0
2020-08-02,-3.582241,15.0
2020-08-03,-3.508425,11.0
2020-08-04,-3.63123,11.0
2020-08-05,-3.946884,12.0
2020-08-06,-4.426622,14.0
2020-08-07,-5.021307,17.0
2020-08-08,-5.67115,12.0
2020-08-09,-6.316531,13.0
2020-08-10,-4.704411,13.0
2020-08-11,-5.201898,12.0
2020-08-12,-5.584363,17.0
2020-08-13,-5.842638,10.0
2020-08-14,-5.977865,5.0
2020-08-15,-5.998128,0.0
2020-08-16,-5.915429,0.0
2020-08-17,-5.743344,0.0
2020-08-18,-5.495427,13.0
2020-08-19,-5.184269,16.0
2020-08-20,-4.82104,12.0
2020-08-21,-4.415356,3.0
2020-08-22,-3.975336,0.0
2020-08-23,-3.507761,0.0
2020-08-24,-3.01827,0.0
2020-08-25,-2.511562,0.0
2020-08-26,-1.99158,0.0
2020-08-27,-1.461672,0.0
2020-08-28,-0.924731,0.0
2020-08-29,-0.383305,0.0
2020-08-30,0.160306,0.0
2020-08-31,0.703985,0.0
2020-09-01,1.245734,0.0
2020-09-02,1.783636,0.0
2020-09-03,2.315819,0.0
2020-09-04,2.840436,0.0
2020-09-05,3.355645,0.0
2020-09-06,3.859595,0.0
2020-09-07,4.350411,0.0
2020-09-08,4.826166,0.0
2020-09-09,5.284822,0.0
2020-09-10,9.571887,0.0
2020-09-11,9.988907,0.0
2020-09-12,10.379287,0.0
2020-09-13,10.734134,0.0
2020-09-14,11.028528,2.0
2020-09-15,11.181287,0.0
2020-09-16,11.084343,0.0
2020-09-17,10.82531,0.0
2020-09-18,10.50679,0.0
2020-09-19,10.162854,0.0
2020-09-20,9.805895,0.0
2020-09-21,5.594613,0.0
2020-09-22,5.229141,0.0
2020-09-23,2.663287,7.0
2020-09-24,2.304812,5.0
2020-09-25,1.954723,4.0
2020-09-26,1.616033,0.0
2020-09-27,1.291591,0.0
2020-09-28,0.984078,0.0
2020-09-29,0.695999,0.0
2020-09-30,0.429664,0.0
2020-10-01,0.187182,0.0
2020-10-02,-0.029549,0.0
2020-10-03,-4.457055,0.0
2020-10-04,-4.617442,0.0
2020-10-05,-4.747659,0.0
2020-10-06,-4.846644,0.0
2020-10-07,-4.913525,0.0
2020-10-08,-4.947609,6.0
2020-10-09,-4.94836,20.0
2020-10-10,-4.91539,18.0
2020-10-11,-4.848436,20.0
2020-10-12,-0.509138,14.0
2020-10-13,-0.373868,0.0
2020-10-14,-0.204455,4.0
2020-10-15,-0.001032,13.0
2020-10-16,0.236173,13.0
2020-10-17,0.506815,14.0
2020-10-18,0.810396,21.0
2020-10-19,1.146207,17.0
2020-10-20,-2.724968,14.0
2020-10-21,-2.328124,14.0
2020-10-22,-1.903467,12.0
2020-10-23,-1.453782,17.0
2020-10-24,-0.982929,18.0
2020-10-25,-0.496254,19.0
2020-10-26,4.236855,22.0
2020-10-27,4.727548,41.0
2020-10-28,5.176267,35.0
2020-10-29,5.238592,42.0
2020-10-30,4.780321,34.0
2020-10-31,6.422748,26.0
2020-11-01,5.820362,5.0
2020-11-02,2.998801,9.0
2020-11-03,2.388116,16.0
2020-11-04,1.812772,26.0
2020-11-05,1.297796,31.0
2020-11-06,0.86362,41.0
2020-11-07,0.52389,38.0
2020-11-08,0.284636,44.0
2020-11-09,-2.057349,29.0
2020-11-10,0.097872,29.0
2020-11-11,0.133512,29.0
2020-11-12,0.239606,32.0
2020-11-13,0.403542,26.0
2020-11-14,-1.589002,20.0
2020-11-15,-1.344822,5.0
2020-11-16,-1.07606,0.0
2020-11-17,-0.791505,10.0
2020-11-18,-0.498936,13.0
2020-11-19,-0.20535,13.0
2020-11-20,0.082754,13.0
2020-11-21,2.561248,26.0
2020-11-22,2.819341,34.0
2020-11-23,3.052345,48.0
2020-11-24,3.252765,44.0
2020-11-25,5.614714,53.0
2020-11-26,5.725775,58.0
2020-11-27,5.781275,75.0
2020-11-28,5.777204,86.0
2020-11-29,3.511389,96.0
2020-11-30,3.392116,87.0
